,bedrooms,bathrooms,sqft_living,sqft_lot,floors,waterfront,view,condition,grade,sqft_above,sqft_basement,yr_renovated,sqft_living15,sqft_lot15,price,sale_year,zipcode_1,zipcode_2,zipcode_3,zipcode_4,sale_month_01,sale_month_02,sale_month_03,sale_month_04,sale_month_05,sale_month_06,sale_month_07,sale_month_08,sale_month_09,sale_month_10,sale_month_11,sale_month_12
0,3,1.0,1180.0,5650.0,1.0,0,0,3,2.0,1180.0,0.0,0,1340.0,5650.0,221900,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
1,3,2.25,2570.0,7242.0,2.0,0,0,3,2.0,2170.0,400.0,1,1690.0,7639.0,538000,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2,2,1.0,770.0,10000.0,1.0,0,0,3,1.0,770.0,0.0,0,2720.0,8062.0,180000,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
3,4,3.0,1960.0,5000.0,1.0,0,0,5,2.0,1050.0,910.0,0,1360.0,12729.291474216161,604000,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
4,3,2.0,1680.0,8080.0,1.0,0,0,3,3.0,1680.0,0.0,0,1800.0,7503.0,510000,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
5,4,2.25,5420.0,7620.0,1.0,0,0,3,4.0,3890.0,1530.0,0,4760.0,101930.0,1225000,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
6,3,2.25,1715.0,6819.0,2.0,0,0,3,2.0,1715.0,0.0,0,2238.0,6819.0,257500,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
7,3,1.5,1060.0,9711.0,1.0,0,0,3,2.0,1060.0,0.0,0,1650.0,9711.0,291850,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
9,3,2.25,1890.0,6560.0,2.0,0,0,3,2.0,1890.0,0.0,0,2390.0,7570.0,323000,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
11,2,1.0,1160.0,6000.0,1.5,0,0,4,2.0,860.0,300.0,0,1330.0,6000.0,468000,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
12,3,1.0,1430.0,19901.0,1.5,0,0,4,2.0,1430.0,0.0,0,1780.0,12697.0,310000,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
13,3,1.75,1370.0,9680.0,1.0,0,0,4,2.0,1370.0,0.0,0,1370.0,10208.0,400000,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
14,5,2.0,1810.0,4850.0,1.5,0,0,3,2.0,1810.0,0.0,0,1985.9880060783676,4850.0,530000,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
15,4,3.0,2950.0,5000.0,2.0,0,3,3,3.0,1980.0,970.0,0,2140.0,4000.0,650000,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
16,3,2.0,1890.0,14040.0,1.5,0,0,3,2.0,1890.0,0.0,0,1890.0,14018.0,395000,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
17,4,1.0,1600.0,4300.0,1.5,0,0,4,2.0,1600.0,0.0,0,1610.0,4300.0,485000,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
18,3,1.0,1200.0,9850.0,1.0,0,0,4,2.5,1200.0,0.0,0,1060.0,5095.0,189000,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
19,3,1.0,1250.0,9774.0,1.0,0,0,4,2.0,1250.0,0.0,0,1280.0,8850.0,230000,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
21,3,2.75,3050.0,44867.0,1.0,0,4,3,3.0,1788.3689340415656,0.0,0,4110.0,12729.291474216161,2000000,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
22,5,2.5,2270.0,6300.0,2.0,0,0,3,3.0,2270.0,0.0,0,2240.0,7005.0,285000,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
23,2,1.5,1070.0,9643.0,1.0,0,0,3,2.0,1070.0,0.0,0,1220.0,8386.0,252700,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
24,3,2.25,2450.0,6500.0,2.0,0,0,4,3.0,2450.0,0.0,0,2200.0,6865.0,329000,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
25,3,2.0,1710.0,4697.0,1.5,0,0,5,1.0,1710.0,0.0,0,1030.0,4705.0,233000,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
26,3,1.75,2450.0,2691.0,2.0,0,0,3,3.0,1750.0,700.0,0,1760.0,3573.0,937000,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
27,3,1.0,1400.0,1581.0,1.5,0,0,5,2.5,1400.0,0.0,0,1985.9880060783676,3861.0,667000,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
28,3,1.75,1520.0,6380.0,1.0,0,0,3,2.0,790.0,730.0,0,1520.0,6235.0,438000,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
29,4,2.5,2570.0,7173.0,2.0,0,0,3,3.0,2570.0,0.0,0,2630.0,6026.0,719000,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
30,3,2.5,2320.0,3980.0,2.0,0,0,3,3.0,2320.0,0.0,0,2580.0,3980.0,580500,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
31,2,1.5,1190.0,1265.0,3.0,0,0,3,2.0,1190.0,0.0,0,1390.0,1756.0,280000,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
32,4,1.75,2330.0,5000.0,1.5,0,0,4,2.0,1510.0,820.0,0,1460.0,5000.0,687500,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
33,3,1.0,1090.0,3000.0,1.5,0,0,4,3.0,1090.0,0.0,0,1570.0,5080.0,535000,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
34,4,2.75,2060.0,6659.0,1.0,0,0,3,2.0,1280.0,780.0,0,2020.0,8720.0,322500,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
35,3,2.5,2300.0,3060.0,1.5,0,0,3,3.0,1510.0,790.0,1,1985.9880060783676,3264.0,696000,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
36,4,1.0,1660.0,34848.0,1.0,0,0,1,1.0,930.0,730.0,0,2160.0,11467.0,550000,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
37,4,2.0,2360.0,6000.0,2.0,0,0,4,3.0,2360.0,0.0,0,1730.0,4700.0,640000,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
